type,x_cm,y_cm,z_cm,radius_cm
Li4SiO4,0.03454231,-0.06295769,0.00804231,0.01501000
Li4SiO4,-0.03645769,0.04854231,0.03454231,0.01501000
Li4SiO4,-0.05745769,-0.02845769,-0.02845769,0.01501000
Li4SiO4,0.06804231,-0.01095769,-0.05095769,0.01501000
Li4SiO4,0.02704231,-0.06495769,0.05954231,0.01501000
Li4SiO4,0.10804231,-0.00395769,-0.07045769,0.01501000
Li4SiO4,0.05554231,0.02854231,-0.05045769,0.01501000
Li4SiO4,-0.11595769,0.00154231,0.06904231,0.01501000
Li4SiO4,0.10204231,-0.00295769,0.06854231,0.01501000
Li4SiO4,0.02304231,0.05304231,0.03304231,0.01501000
Li4SiO4,0.01554231,0.07404231,0.07254231,0.01501000
Li4SiO4,0.00104231,-0.06345769,0.09254231,0.01501000
Li4SiO4,0.05054231,0.06604231,-0.06645769,0.01501000
Li4SiO4,0.06754231,0.01404231,0.07804231,0.01501000
Li4SiO4,0.11404231,0.07404231,0.06804231,0.01501000
Li4SiO4,-0.03145769,0.05554231,-0.02045769,0.01501000
Li4SiO4,-0.00795769,-0.01595769,0.07154231,0.01501000
Li4SiO4,-0.11545769,0.06354231,-0.06895769,0.01501000
Li4SiO4,0.06804231,0.06604231,-0.11845769,0.01501000
Li4SiO4,0.02054231,-0.00195769,0.07004231,0.01501000
Li4SiO4,-0.03195769,-0.05845769,-0.02345769,0.01501000
Li4SiO4,0.07354231,0.09854231,-0.06845769,0.01501000
Li4SiO4,0.06904231,-0.04195769,-0.00195769,0.01501000
Li4SiO4,0.06304231,0.05754231,-0.02945769,0.01501000
Li4SiO4,-0.00495769,0.06204231,0.04954231,0.01501000
Li4SiO4,0.10154231,-0.00445769,0.00054231,0.01501000
Li4SiO4,-0.00295769,0.11854231,0.00054231,0.01501000
Li4SiO4,0.07104231,-0.08595769,-0.07845769,0.01501000
Li4SiO4,-0.01645769,0.06804231,0.07704231,0.01501000
Li4SiO4,0.00704231,0.03304231,0.06254231,0.01501000
Li4SiO4,0.03954231,-0.00695769,-0.06795769,0.01501000
Li4SiO4,0.06804231,0.10104231,0.07004231,0.01501000
Li4SiO4,0.02304231,0.04854231,-0.04345769,0.01501000
Li4SiO4,0.04354231,0.01854231,0.05404231,0.01501000
Li4SiO4,-0.06145769,0.01404231,-0.02545769,0.01501000
Li4SiO4,0.07604231,0.00054231,-0.11895769,0.01501000
Li4SiO4,0.00404231,-0.06795769,-0.02295769,0.01501000
Li4SiO4,0.07104231,0.04354231,-0.07295769,0.01501000
Li4SiO4,0.00154231,0.06954231,0.11254231,0.01501000
Li4SiO4,-0.00195769,0.10654231,0.06754231,0.01501000
Li4SiO4,-0.07095769,-0.11795769,-0.06245769,0.01501000
Li4SiO4,0.10404231,-0.06945769,-0.06745769,0.01501000
Li4SiO4,0.10254231,0.06954231,0.00454231,0.01501000
Li4SiO4,0.01704231,-0.03545769,0.05604231,0.01501000
Li4SiO4,0.00004231,-0.11695769,-0.00495769,0.01501000
Li4SiO4,-0.11845769,-0.07495769,0.00154231,0.01501000
Li4SiO4,0.07204231,0.00004231,-0.01145769,0.01501000
Li4SiO4,0.09254231,-0.06745769,0.00004231,0.01501000
Li4SiO4,0.00254231,-0.00245769,0.10004231,0.01501000
Li4SiO4,-0.00045769,0.07454231,-0.09695769,0.01501000
Li4SiO4,0.06554231,0.11604231,-0.00295769,0.01501000
Li4SiO4,0.00804231,0.06954231,-0.01445769,0.01501000
Li4SiO4,-0.07095769,0.00004231,0.11604231,0.01501000
Li4SiO4,-0.11745769,-0.07195769,0.06904231,0.01501000
Li4SiO4,-0.04045769,0.03254231,-0.05445769,0.01501000
Li4SiO4,-0.07095769,-0.11545769,0.06504231,0.01501000
Li4SiO4,0.06804231,-0.07245769,0.10754231,0.01501000
Li4SiO4,-0.06995769,-0.11695769,-0.00245769,0.01501000
Li4SiO4,0.06804231,-0.11745769,-0.06445769,0.01501000
Li4SiO4,0.05904231,-0.06345769,0.03004231,0.01501000
Li4SiO4,-0.06195769,0.02254231,0.01454231,0.01501000
Li4SiO4,0.07454231,0.07004231,0.11804231,0.01501000
Li4SiO4,0.06404231,0.01204231,0.02854231,0.01501000
Li4SiO4,-0.07295769,0.11654231,0.00004231,0.01501000
Li4SiO4,-0.00095769,0.09704231,-0.06895769,0.01501000
Li4SiO4,0.07004231,-0.10095769,0.06854231,0.01501000
Li4SiO4,-0.07195769,0.00204231,-0.11445769,0.01501000
Li4SiO4,-0.00445769,-0.02345769,-0.07245769,0.01501000
Li4SiO4,0.08004231,0.07004231,-0.05645769,0.01501000
Li4SiO4,0.00104231,0.00154231,-0.10395769,0.01501000
Li4SiO4,-0.07145769,0.11804231,-0.06295769,0.01501000
Li4SiO4,0.07154231,0.06304231,0.08704231,0.01501000
Li4SiO4,0.02104231,0.07054231,-0.07045769,0.01501000
Li4SiO4,0.04004231,0.04954231,0.06104231,0.01501000
Li4SiO4,-0.06545769,0.07154231,0.11454231,0.01501000
Li4SiO4,-0.02295769,0.01704231,0.06154231,0.01501000
Li4SiO4,-0.11445769,-0.06595769,-0.06645769,0.01501000
Li4SiO4,-0.11695769,-0.00395769,-0.06995769,0.01501000
Li4SiO4,-0.07095769,0.06354231,-0.11795769,0.01501000
Li4SiO4,-0.06345769,-0.06845769,0.11604231,0.01501000
Li4SiO4,0.05904231,0.04154231,0.03554231,0.01501000
Li4SiO4,-0.11545769,0.00154231,-0.00595769,0.01501000
Li4SiO4,-0.11595769,0.06304231,0.06954231,0.01501000
Li4SiO4,0.11554231,-0.07195769,0.06954231,0.01501000
Li4SiO4,0.07004231,-0.02445769,0.07504231,0.01501000
Li4SiO4,0.00204231,-0.11445769,-0.06395769,0.01501000
Li4SiO4,-0.11795769,0.06954231,-0.00645769,0.01501000
Li4SiO4,0.07154231,-0.05345769,-0.07895769,0.01501000
Li4SiO4,-0.06845769,-0.07645769,-0.11795769,0.01501000
Li4SiO4,-0.02445769,0.01004231,-0.06745769,0.01501000
Li4SiO4,0.06404231,-0.01695769,0.01504231,0.01501000
Li4SiO4,-0.06195769,0.11854231,0.07054231,0.01501000
Li4SiO4,-0.00045769,-0.06295769,-0.11795769,0.01501000
Li4SiO4,0.07504231,0.07354231,-0.08695769,0.01501000
Li4SiO4,-0.02195769,-0.03695769,0.05154231,0.01501000
Li4SiO4,0.01204231,-0.06295769,0.02904231,0.01501000
Li4SiO4,0.03554231,-0.04345769,0.03354231,0.01501000
Li4SiO4,0.04804231,-0.06095769,-0.02095769,0.01501000
Li4SiO4,-0.00145769,-0.08945769,0.07654231,0.01501000
Li4SiO4,-0.02945769,-0.05895769,0.03204231,0.01501000
Li4SiO4,0.04504231,-0.06845769,-0.07595769,0.01501000
Li4SiO4,0.00004231,-0.07895769,0.11854231,0.01501000
